Age,Fare,SibSp,Parch,Sex,Embarked,Pclass,prediction,label,version,timestamp
20.0,7.8542,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
46.0,61.175,1,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
26.0,20.575,1,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
59.0,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
71.0,34.6542,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
23.0,63.3583,0,1,male,c,1,1,1,1,2026-02-18 14:06:25.781373
34.0,23.0,0,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
34.0,26.0,1,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
28.0,7.8958,0,0,female,s,3,1,0,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
21.0,77.2875,0,1,male,s,1,0,0,1,2026-02-18 14:06:25.781373
33.0,8.6542,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
37.0,7.925,2,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
28.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
21.0,7.65,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
,7.775,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
38.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,24.15,1,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
47.0,52.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
14.5,14.4542,1,0,female,c,3,0,0,1,2026-02-18 14:06:25.781373
22.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
20.0,9.825,1,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
17.0,14.4583,0,0,female,c,3,0,0,1,2026-02-18 14:06:25.781373
21.0,7.925,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
70.5,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
29.0,21.0,1,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
24.0,247.5208,0,1,male,c,1,0,0,1,2026-02-18 14:06:25.781373
2.0,31.275,4,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
21.0,73.5,2,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
32.5,30.0708,1,0,male,c,2,0,0,1,2026-02-18 14:06:25.781373
32.5,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
54.0,77.2875,0,1,male,s,1,0,0,1,2026-02-18 14:06:25.781373
12.0,11.2417,1,0,male,c,3,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
24.0,7.1417,0,0,male,s,3,1,1,1,2026-02-18 14:06:25.781373
,22.3583,1,1,female,c,3,1,1,1,2026-02-18 14:06:25.781373
45.0,6.975,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
33.0,7.8958,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
20.0,7.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
47.0,14.5,1,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
29.0,26.0,1,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
25.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
23.0,15.0458,0,0,male,c,2,0,0,1,2026-02-18 14:06:25.781373
19.0,26.2833,0,2,female,s,1,1,1,1,2026-02-18 14:06:25.781373
37.0,53.1,1,0,male,s,1,1,0,1,2026-02-18 14:06:25.781373
16.0,9.2167,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
24.0,79.2,0,0,male,c,1,1,0,1,2026-02-18 14:06:25.781373
,15.2458,0,2,female,c,3,0,0,1,2026-02-18 14:06:25.781373
22.0,7.75,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
24.0,15.85,1,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
19.0,6.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
18.0,11.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
19.0,36.75,1,1,male,s,2,0,0,1,2026-02-18 14:06:25.781373
27.0,7.7958,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
9.0,34.375,2,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
36.5,26.0,0,2,male,s,2,0,0,1,2026-02-18 14:06:25.781373
42.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
51.0,12.525,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
22.0,66.6,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
55.5,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
40.5,14.5,0,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.3125,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
51.0,61.3792,0,1,male,c,1,0,0,1,2026-02-18 14:06:25.781373
16.0,7.7333,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
30.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,8.6625,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,69.55,8,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
44.0,16.1,0,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
40.0,15.75,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
26.0,7.775,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
17.0,8.6625,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
1.0,39.6875,4,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
9.0,20.525,0,2,male,s,3,1,1,1,2026-02-18 14:06:25.781373
,55.0,0,1,female,s,1,1,1,1,2026-02-18 14:06:25.781373
45.0,27.9,1,4,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,25.925,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
28.0,56.4958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
61.0,33.5,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
4.0,29.125,4,1,male,q,3,0,0,1,2026-02-18 14:06:25.781373
1.0,11.1333,1,1,female,s,3,1,1,1,2026-02-18 14:06:25.781373
21.0,7.925,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
56.0,30.6958,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
18.0,7.8542,1,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,25.4667,3,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
50.0,28.7125,0,0,female,c,1,1,0,1,2026-02-18 14:06:25.781373
30.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
36.0,0.0,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,69.55,8,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,15.05,0,0,male,c,2,0,0,1,2026-02-18 14:06:25.781373
9.0,31.3875,4,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
1.0,39.0,2,1,male,s,2,1,1,1,2026-02-18 14:06:25.781373
4.0,22.025,0,2,female,s,3,1,1,1,2026-02-18 14:06:25.781373
,50.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
,15.5,1,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
45.0,26.55,0,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
40.0,15.5,1,1,male,q,3,0,0,1,2026-02-18 14:06:25.781373
36.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
32.0,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
19.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
19.0,7.8542,1,0,female,s,3,0,1,1,2026-02-18 14:06:25.781373
3.0,26.0,1,1,male,s,2,1,1,1,2026-02-18 14:06:25.781373
44.0,27.7208,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
58.0,146.5208,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
42.0,8.4042,0,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.75,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
24.0,13.0,0,0,female,s,2,1,0,1,2026-02-18 14:06:25.781373
28.0,9.5,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,69.55,8,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
34.0,6.4958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
45.5,7.225,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
18.0,8.05,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
2.0,10.4625,0,1,female,s,3,0,0,1,2026-02-18 14:06:25.781373
32.0,15.85,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
26.0,18.7875,0,0,male,c,3,0,1,1,2026-02-18 14:06:25.781373
16.0,7.75,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
40.0,31.0,0,0,male,c,1,0,1,1,2026-02-18 14:06:25.781373
24.0,7.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
35.0,21.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
22.0,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
30.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,7.75,1,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
31.0,113.275,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
27.0,7.925,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
42.0,27.0,1,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
32.0,76.2917,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
30.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
16.0,8.05,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
27.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
51.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
38.0,90.0,1,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
22.0,9.35,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
19.0,10.5,0,0,male,s,2,0,1,1,2026-02-18 14:06:25.781373
20.5,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,25.4667,3,1,female,s,3,0,0,1,2026-02-18 14:06:25.781373
35.0,83.475,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
29.0,7.775,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
59.0,13.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
5.0,31.3875,4,2,female,s,3,1,1,1,2026-02-18 14:06:25.781373
24.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,7.55,0,0,female,s,3,1,0,1,2026-02-18 14:06:25.781373
44.0,26.0,1,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
8.0,26.25,0,2,female,s,2,1,1,1,2026-02-18 14:06:25.781373
19.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
33.0,12.275,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,14.4542,1,0,female,c,3,0,0,1,2026-02-18 14:06:25.781373
,15.5,1,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
29.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
22.0,7.125,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
30.0,7.225,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
44.0,90.0,2,0,male,q,1,0,0,1,2026-02-18 14:06:25.781373
25.0,7.775,0,0,female,s,3,1,0,1,2026-02-18 14:06:25.781373
24.0,14.5,0,2,female,s,2,1,1,1,2026-02-18 14:06:25.781373
37.0,52.5542,1,1,male,s,1,1,1,1,2026-02-18 14:06:25.781373
54.0,26.0,1,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
29.0,10.4625,1,1,female,s,3,0,0,1,2026-02-18 14:06:25.781373
62.0,26.55,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
30.0,16.1,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
41.0,20.2125,0,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
29.0,15.2458,0,2,female,c,3,1,1,1,2026-02-18 14:06:25.781373
,79.2,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
30.0,86.5,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
35.0,512.3292,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
50.0,26.0,0,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
3.0,31.3875,4,2,male,s,3,0,1,1,2026-02-18 14:06:25.781373
52.0,79.65,1,1,male,s,1,0,0,1,2026-02-18 14:06:25.781373
40.0,0.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
,7.75,0,0,female,q,3,1,0,1,2026-02-18 14:06:25.781373
36.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
16.0,39.6875,4,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
25.0,7.775,1,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
58.0,153.4625,0,1,female,s,1,1,1,1,2026-02-18 14:06:25.781373
35.0,135.6333,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
,31.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
25.0,0.0,0,0,male,s,3,1,1,1,2026-02-18 14:06:25.781373
41.0,19.5,0,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
37.0,29.7,0,1,male,c,1,0,0,1,2026-02-18 14:06:25.781373
,7.75,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
63.0,77.9583,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
45.0,7.75,0,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,0.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
7.0,29.125,4,1,male,q,3,0,0,1,2026-02-18 14:06:25.781373
35.0,20.25,1,1,female,s,3,1,1,1,2026-02-18 14:06:25.781373
65.0,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
28.0,7.8542,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
16.0,9.5,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
19.0,8.05,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
,26.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
33.0,8.6625,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
30.0,9.5,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
22.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
42.0,13.0,0,0,male,s,2,0,1,1,2026-02-18 14:06:25.781373
22.0,7.75,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
26.0,78.85,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
19.0,91.0792,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
36.0,12.875,0,0,male,c,2,0,0,1,2026-02-18 14:06:25.781373
24.0,8.85,0,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
24.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,27.7208,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
23.5,7.2292,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
2.0,151.55,1,2,female,s,1,0,0,1,2026-02-18 14:06:25.781373
,30.5,0,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
50.0,247.5208,0,1,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
,23.25,2,0,male,q,3,0,1,1,2026-02-18 14:06:25.781373
19.0,0.0,0,0,male,s,3,1,0,1,2026-02-18 14:06:25.781373
,12.35,0,0,female,q,2,1,1,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
0.92,151.55,1,2,male,s,1,1,1,1,2026-02-18 14:06:25.781373
,110.8833,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
17.0,108.9,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
30.0,24.0,1,0,male,c,2,0,0,1,2026-02-18 14:06:25.781373
30.0,56.9292,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
24.0,83.1583,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
18.0,262.375,2,2,female,c,1,1,1,1,2026-02-18 14:06:25.781373
26.0,26.0,1,1,female,s,2,1,0,1,2026-02-18 14:06:25.781373
28.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
43.0,26.25,1,1,male,s,2,0,0,1,2026-02-18 14:06:25.781373
26.0,7.8542,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
24.0,26.0,1,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
54.0,14.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
31.0,164.8667,0,2,female,s,1,1,1,1,2026-02-18 14:06:25.781373
40.0,134.5,1,1,female,c,1,1,1,1,2026-02-18 14:06:25.781373
22.0,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
27.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
30.0,12.35,0,0,female,q,2,1,1,1,2026-02-18 14:06:25.781373
22.0,29.0,1,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,69.55,8,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
36.0,135.6333,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
61.0,6.2375,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
36.0,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
31.0,20.525,1,1,female,s,3,1,1,1,2026-02-18 14:06:25.781373
16.0,57.9792,0,1,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,23.25,2,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
45.5,28.5,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
38.0,153.4625,0,1,male,s,1,0,0,1,2026-02-18 14:06:25.781373
16.0,18.0,2,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,133.65,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
29.0,66.6,1,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
41.0,134.5,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
45.0,8.05,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
45.0,35.5,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
2.0,26.0,1,1,male,s,2,1,1,1,2026-02-18 14:06:25.781373
24.0,263.0,3,2,female,s,1,1,1,1,2026-02-18 14:06:25.781373
28.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
25.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
36.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
24.0,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
40.0,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,16.1,1,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
3.0,15.9,1,1,male,s,3,1,1,1,2026-02-18 14:06:25.781373
42.0,8.6625,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
